# Pfad	Rust-Typ	Bereich	Beschriftung	Schreibrecht	Hinweis
runtime.bridges.matcher_auto_threshold	Option<i64>	Verbindungen & Streamer-Zuordnung	Schwelle für automatische Zuordnung	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_review_threshold	Option<i64>	Verbindungen & Streamer-Zuordnung	Schwelle für manuelle Prüfung	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_fuzzy_floor	Option<f64>	Verbindungen & Streamer-Zuordnung	Mindestähnlichkeit bei Namen (0–1)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_max_ai_per_scan	Option<u64>	Verbindungen & Streamer-Zuordnung	KI-Prüfungen pro Zuordnungslauf	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_scan_interval_hours	Option<u64>	Verbindungen & Streamer-Zuordnung	Abstand der Zuordnungsläufe (Stunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_state_path	Option<PathBuf>	Verbindungen & Streamer-Zuordnung	Zustandsdatei der Streamer-Zuordnung	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.matcher_ai_provider	Option<String>	Verbindungen & Streamer-Zuordnung	Ältere Anbieterwahl der Streamer-Zuordnung	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.discord_client_id	Option<String>	Dashboard	Discord-OAuth-Anwendungs-ID	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.host	Option<IpAddr>	Dashboard	Bind-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.public_url	Option<String>	Dashboard	Öffentliche Dashboard-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.listen_url	Option<String>	Dashboard	Interne Dashboard-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.broker_url	Option<String>	Dashboard	Interne Broker-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.allowed_origins	Option<Vec<String>>	Dashboard	Erlaubte Dashboard-Ursprünge	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.auth_guild_ids	Option<Vec<u64>>	Dashboard	Für die Anmeldung erlaubte Server	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.owner_user_id	Option<u64>	Dashboard	Dashboard-Betreiber	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.moderator_role_id	Option<u64>	Dashboard	Rolle mit vollständigem Dashboard-Zugriff	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.audit_bot_user_id	Option<u64>	Dashboard	Bot-ID für das Audit-Log	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.dashboard.session_ttl_seconds	Option<i64>	Dashboard	Gültigkeit einer Dashboard-Sitzung (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.dashboard.oauth_state_ttl_seconds	Option<i64>	Dashboard	Gültigkeit einer OAuth-Anmeldung (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.dashboard.discord_redirect_uri	Option<String>	Dashboard	Discord-OAuth-Rücksprungadresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.discord_api_base	Option<String>	Dashboard	Discord-API-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.data_dir	Option<PathBuf>	Dashboard	Datenverzeichnis	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.wiki_root	Option<PathBuf>	Dashboard	Wiki-Verzeichnis	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.dashboard.insights_guild_id	Option<u64>	Dashboard	Server für Discord-Auswertungen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.dashboard.insights_archive_dir	Option<PathBuf>	Dashboard	Archiv der Discord-Auswertungen	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.cookie_secure	Option<bool>	Öffentliche Seiten	Cookies nur über HTTPS	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.insecure_cookie	Option<bool>	Öffentliche Seiten	Unsichere Cookies erlauben	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.cors_origins	Option<Vec<String>>	Öffentliche Seiten	Erlaubte Web-Ursprünge	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.dashboard_base	Option<String>	Öffentliche Seiten	Interne Dashboard-API	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.callback_url	Option<String>	Öffentliche Seiten	Rücksprungadresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.stats_host	Option<IpAddr>	Öffentliche Seiten	Bind-Adresse der öffentlichen Statistik	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.tierlist_host	Option<IpAddr>	Öffentliche Seiten	Bind-Adresse der öffentlichen Tierliste	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.static_dir	Option<PathBuf>	Öffentliche Seiten	Verzeichnis statischer Dateien	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.web.tierlist_refresh	Option<bool>	Öffentliche Seiten	Tierliste regelmäßig aktualisieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.steam_voice_nudge	Option<bool>	Community & Voice	Steam-Spieler auf Sprachkanäle hinweisen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.lfg_forum_cutover	Option<bool>	Community & Voice	Mitspielersuche im Forum verwenden	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.lfg_panel_channel_id	Option<u64>	Community & Voice	Kanal für das Mitspieler-Panel	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.lfg_forum_channel_id	Option<u64>	Community & Voice	Forum für die Mitspielersuche	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.router_auto_move	Option<bool>	Community & Voice	Mitglieder automatisch in passende Lanes verschieben	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.router_auto_move_delay_seconds	Option<u64>	Community & Voice	Wartezeit vor automatischem Verschieben (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.lane_pairing	Option<bool>	Community & Voice	Allein sitzende Spieler zusammenbringen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.survey_pulse	Option<bool>	Community & Voice	Regelmäßige Community-Umfragen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.survey_interval_days	Option<i64>	Community & Voice	Abstand der Community-Umfragen (Tage)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.scrim_visible_vcs	Option<bool>	Community & Voice	Sichtbare Scrim-Sprachkanäle	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.scrim_category_id	Option<u64>	Community & Voice	Kategorie für Scrim-Sprachkanäle	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.player_finder	Option<bool>	Community & Voice	Spielersuche aktivieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.lfg_freetext	Option<bool>	Community & Voice	Freitext-Mitspielersuche aktivieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.lfg_freetext_channel_id	Option<u64>	Community & Voice	Kanal für die Freitext-Mitspielersuche	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.voice_hint	Option<bool>	Community & Voice	KI-Sprachkanalhinweise aktivieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_enabled	Option<bool>	Bot-Pate & Onboarding	Bot-Pate aktivieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_test_users	Option<Vec<u64>>	Bot-Pate & Onboarding	Testpersonen für den Bot-Paten	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_fallback_category_id	Option<u64>	Bot-Pate & Onboarding	Ersatzkategorie des Bot-Paten	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_pate_category_id	Option<u64>	Bot-Pate & Onboarding	Kategorie des Patenprogramms	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_pate_channel_id	Option<u64>	Bot-Pate & Onboarding	Kanal der Patenzentrale	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_mod_role_id	Option<u64>	Bot-Pate & Onboarding	Moderationsrolle für Patenanfragen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_active_minutes	Option<i64>	Bot-Pate & Onboarding	Aktivitätsschwelle des Bot-Paten (Minuten)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_brand_emoji	Option<String>	Bot-Pate & Onboarding	Community-Emoji des Bot-Paten	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_free_voice	Option<bool>	Bot-Pate & Onboarding	Freie Sprachkanäle für den Bot-Paten	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.concierge_proactive	Option<bool>	Bot-Pate & Onboarding	Proaktive Nachrichten des Bot-Paten	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.community.recording_state_dir	Option<PathBuf>	Community & Voice	Zustandsverzeichnis der Scrim-Aufnahmen	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.community.recording_rclone_path	Option<PathBuf>	Community & Voice	Programm für die Aufnahmearchivierung	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.community.recording_archive_base	Option<String>	Community & Voice	Ziel der Aufnahmearchivierung	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.moderation.channel_id	Option<u64>	Moderation	Moderationskanal	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.scan_channel_ids	Option<Vec<u64>>	Moderation	Von der KI-Moderation geprüfte Kanäle	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.invite_allowlist	Option<Vec<String>>	Moderation	Erlaubte Discord-Einladungen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.analyze_flag_threshold	Option<f64>	Moderation	Schwelle für Moderationshinweise (0–1)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.auto_verify_threshold	Option<f64>	Moderation	Schwelle für automatische Verifizierung (0–1)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.propose_verify_threshold	Option<f64>	Moderation	Schwelle für Verifizierungsvorschläge (0–1)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.timeout_minutes	Option<i64>	Moderation	Moderations-Timeout (Minuten)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.behavior_proposal_timeout_minutes	Option<i64>	Moderation	Vorgeschlagener Verhaltens-Timeout (Minuten)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.moderation.ai_moderator	Option<bool>	Moderation	KI-Moderation aktivieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.ai.openai_base_url	Option<String>	KI · Weitere Optionen	OpenAI-API-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.ai.openai_model	Option<String>	KI · Weitere Optionen	Standardmodell für OpenAI	edit	Ältere Modellvorgabe des Aufrufers. Explizite Pins des KI-Anwendungsfalls und des zugeordneten Anbieters haben Vorrang. Bildmodelle werden weiterhin separat verwendet.
runtime.ai.fireworks_base_url	Option<String>	KI · Weitere Optionen	Fireworks-API-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.ai.turnier_model	Option<String>	KI · Weitere Optionen	Älterer Modell-Pin für Turniervorschläge	edit	Ältere Modellvorgabe des Aufrufers. Explizite Pins des KI-Anwendungsfalls und des zugeordneten Anbieters haben Vorrang. Bildmodelle werden weiterhin separat verwendet.
runtime.ai.moderation_text_model	Option<String>	KI · Weitere Optionen	Älterer Modell-Pin für Textmoderation	edit	Ältere Modellvorgabe des Aufrufers. Explizite Pins des KI-Anwendungsfalls und des zugeordneten Anbieters haben Vorrang. Bildmodelle werden weiterhin separat verwendet.
runtime.ai.moderation_image_model	Option<String>	KI · Weitere Optionen	Modell für Bildmoderation	edit	Ältere Modellvorgabe des Aufrufers. Explizite Pins des KI-Anwendungsfalls und des zugeordneten Anbieters haben Vorrang. Bildmodelle werden weiterhin separat verwendet.
runtime.ai.moderation_verify_model	Option<String>	KI · Weitere Optionen	Älterer Modell-Pin für Verifizierung	edit	Ältere Modellvorgabe des Aufrufers. Explizite Pins des KI-Anwendungsfalls und des zugeordneten Anbieters haben Vorrang. Bildmodelle werden weiterhin separat verwendet.
runtime.ai.concierge_model	Option<String>	KI · Weitere Optionen	Älterer Modell-Pin für den Bot-Paten	edit	Ältere Modellvorgabe des Aufrufers. Explizite Pins des KI-Anwendungsfalls und des zugeordneten Anbieters haben Vorrang. Bildmodelle werden weiterhin separat verwendet.
